adj,freq,sem_class,p/d
brand,5,other,child-directed
sore,1,other,child-directed
warm,9,other,child-directed
instant,1,other,child-directed
wide,1,dimension,child-directed
wool,2,material,child-directed
pretend,1,other,child-directed
flip,2,other,child-directed
trick,1,other,child-directed
silly,3,other,child-directed
fun,10,other,child-directed
loop,1,other,child-directed
beautiful,20,other,child-directed
flop,3,other,child-directed
dandy,1,other,child-directed
taste,1,other,child-directed
deep,1,other,child-directed
sad,2,other,child-directed
gentle,1,other,child-directed
lamb,1,other,child-directed
fashioned,1,other,child-directed
sharp,6,physical,child-directed
pink,4,color,child-directed
huge,4,dimension,child-directed
different,3,other,child-directed
itsy,2,dimension,child-directed
cross,14,other,child-directed
snot,1,other,child-directed
hot,21,other,child-directed
sick,1,other,child-directed
smell,1,other,child-directed
nice,114,value,child-directed
poor,35,value,child-directed
polar,1,other,child-directed
okay,1,value,child-directed
pokey,1,other,child-directed
smiley,1,other,child-directed
vicious,1,other,child-directed
wrong,1,other,child-directed
bitsy,2,dimension,child-directed
stripe,1,other,child-directed
fresh,10,age,child-directed
darned,1,other,child-directed
light,1,other,child-directed
medical,1,other,child-directed
cheek,2,other,child-directed
hungry,1,other,child-directed
green,30,color,child-directed
greed,1,other,child-directed
clean,19,other,child-directed
tall,6,dimension,child-directed
wind,1,other,child-directed
cute,3,other,child-produced
just,2,other,child-produced
yellow,12,color,child-produced
bright,1,other,child-produced
through,1,other,child-produced
jolly,1,other,child-produced
wee,8,dimension,child-produced
black,3,color,child-produced
pretty,3,other,child-produced
wet,3,physical,child-produced
orange,4,color,child-produced
smile,1,other,child-produced
real,4,other,child-produced
brown,21,color,child-produced
good,6,value,child-produced
big,196,dimension,child-produced
fat,2,dimension,child-produced
early,2,other,child-produced
gray,1,color,child-produced
fluff,2,other,child-produced
wooden,5,material,child-produced
large,1,dimension,child-produced
bag,2,other,child-produced
bad,17,value,child-produced
fuzz,1,other,child-produced
small,3,dimension,child-produced
round,5,shape,child-produced
mean,1,other,child-produced
heavy,1,other,child-produced
old,14,age,child-produced
fair,1,other,child-produced
hard,3,physical,child-produced
back,2,other,child-produced
bounce,1,other,child-produced
hair,2,other,child-produced
dear,18,other,child-produced
close,1,other,child-produced
blue,21,color,child-produced
eensie,11,dimension,child-produced
purple,2,color,child-produced
sun,2,other,child-produced
loll,1,other,child-produced
teeny,1,dimension,child-produced
stupid,1,other,child-produced
dutch,1,other,child-produced
new,13,age,child-produced
red,32,color,child-produced
noise,4,other,child-produced
posh,2,other,child-produced
dirt,4,other,child-produced
french,1,other,child-produced
merry,1,other,child-produced
precious,1,other,child-produced
strong,1,other,child-produced
shine,2,other,child-produced
great,9,value,child-produced
last,1,other,child-produced
quiet,1,other,child-produced
whole,2,other,child-produced
scare,1,other,child-produced
naughty,1,other,child-produced
love,1,other,child-produced
point,1,other,child-produced
weensie,11,dimension,child-produced
tiny,40,dimension,child-produced
open,3,other,child-produced
little,100,dimension,child-produced
top,1,other,child-produced
long,7,dimension,child-produced
next,2,other,child-produced
live,3,other,child-produced
white,27,color,child-produced
happy,9,other,child-produced
dry,1,physical,child-produced
clever,5,other,child-produced
brand,2,other,child-produced
squash,3,other,child-produced
sore,1,other,child-produced
bum,2,other,child-produced
kind,1,other,child-produced
fun,7,other,child-produced
ripe,2,other,child-produced
sag,2,other,child-produced
fellow,1,other,child-produced
high,2,other,child-produced
juice,1,other,child-produced
fashioned,2,other,child-produced
ready,1,other,child-produced
sharp,2,physical,child-produced
pink,6,color,child-produced
huge,12,dimension,child-produced
itsy,2,dimension,child-produced
cross,2,other,child-produced
hot,4,other,child-produced
sick,1,other,child-produced
nice,30,value,child-produced
poor,27,value,child-produced
still,1,other,child-produced
pokey,2,other,child-produced
wrong,1,other,child-produced
bitsy,2,dimension,child-produced
tall,5,dimension,child-produced
squeak,1,other,child-produced
short,1,dimension,child-produced
light,5,other,child-produced
flop,1,other,child-produced
hungry,1,other,child-produced
green,14,color,child-produced
fresh,2,age,child-produced
