adj,freq
sighted,1
australian,3
theoretical,1
pres,1
loving,1
hooked,1
adve,1
acceptable,2
apparent,2
ooh,4
chocolate,1
visual,6
dismal,1
co-educational,1
olive,1
mascot,1
pre-,1
walled,1
instructional,1
graphic,4
fourths,1
pretend,1
cau,1
harmonious,1
cal,1
following,3
pickle,1
stimulating,1
social,59
crazy,1
three-bedroomed,1
pleated,2
drawer,1
tinted,1
prize-winning,1
parliamentary,19
productive,1
war-time,1
brick-bint,2
positional,2
vital,3
fourth,9
optimal,1
pint,1
fascist,3
typewriting,1
southern,7
stroppy,1
wiggly,1
motorway,1
blurgh,2
mad,4
such,81
suck,1
destructive,2
eighth,2
antiquarian,1
older-fashioned,1
natural,22
mangy,1
liquid,1
nationalistic,2
long-range,1
sp,1
explicit,1
explanary,1
nosed,1
tangled,1
african,1
tall,6
typical,15
drunken,2
cute,3
franco-,1
pointed,3
unacceptable,1
cold,18
striped,1
solitary,2
supplemented,1
rooftop,1
eighty-six,1
curly,5
interesting,21
amazing,2
councillor,1
civil,27
main,61
non,11
lonely,3
adjacent,1
civilian,4
indigenous,2
touching,1
corroded,1
obscene,1
half,34
now,2
widespread,5
operatic,1
non-registered,1
realistic,2
doddery,1
square,18
eh,1
pillaged,1
divisional,5
abnormal,2
ex,11
lanky,1
ev,1
neighbourhood,3
drier,1
rude,4
nominal,1
rational,5
correct,6
tangible,1
screw,2
punky,1
postoperative,1
seventh,6
quite,2
carbolic,1
unfriendly,1
git,1
complicated,2
follow-on,1
unnamed,1
force-fit,1
waxy,1
dunno,1
contented,1
british,45
honest,6
unpaid,1
funky,1
industrialised,1
massive,32
domed,1
frequent,1
first,187
blind,10
prawn,1
symbolic,4
sovereign,1
clumsy,2
fast,1
periodical,1
spanish,6
anti-,3
methodological,1
potted,1
underactive,1
open,43
cheesy,1
sheer,1
silent,1
action-packed,1
stuck,1
murky,1
structured,1
carbonate,1
plastic,4
tragic,2
tri-glossic,1
typing,1
typographical,1
cost-effective,1
white,79
council-run,1
inefficient,2
ch,1
continuous,6
qual,1
ambulatory,1
ridiculous,1
wongy,2
retireable,1
photographic,1
auto-immune,1
set-up,1
wide,33
doddering,1
dinky,1
effective,15
re-fit,2
rival,1
diplomatic,2
non-stop,1
victorian,11
future,20
dextrose,1
glossy,4
schooled,1
geht,1
gigantic,3
pre,3
tasted,1
pro,4
sad,3
prestigious,2
dredging,1
amateur,6
occupied,1
sav,1
secondhand,1
intra-industry,1
notational,1
fashionable,4
efficient,3
terrific,2
ideal,3
potential,10
online,1
objective,5
potassium,1
sellable,1
normal,43
urgh,4
paid,5
rehearsal,1
beta,1
consignment,1
printed,1
successive,6
coveted,1
creditable,1
surprising,1
largish,1
touchy,1
average,14
later,3
steady,5
hungry,2
crafty,2
shut-down,1
professional,24
senior,25
foetal,1
atlantic,1
precise,4
surplus,2
german,8
anti-hunt,1
cheap,9
contemporary,6
fifty,25
snidey,1
bright,25
aggressive,4
fifth,2
trot,4
slow,6
stormy,1
punchy,1
stained,3
enough,84
considerable,12
woof,4
only,111
going,3
black,49
worthwhile,3
congressional,2
toffee,1
non-invasive,1
assistant,7
horrible,9
gen,1
secondary,16
prime,15
naked,2
stupid,13
ruddy,6
finishing,4
unmarried,1
presentic,1
eighteenth,4
relative,7
asleep,1
israeli,1
voluntary,31
federal,2
subsequent,3
diddle,14
definite,3
malted,1
teeny,3
outside,4
thinkable,1
diamondy,1
affordable,10
vertical,2
parental,4
ju,3
micro-electronic,1
real-life,1
spare,11
free-standing,1
cervical,2
concentrated,1
rugby,2
farcical,1
many,422
directional,2
quiet,12
impo,1
unforeseen,1
dated,1
traded,1
nearby,3
yearly,1
sixth,8
pop,1
twin,6
stretched,2
poi,1
aerial,3
bizarre,1
poll,4
two-year,1
disciplinary,4
forecasted,1
amino,5
caring,2
sensible,7
unusual,1
capable,1
west,8
scandalous,1
tropical,6
drop-in,1
practised,1
mumsy,1
regimental,2
peaceful,2
infective,1
to-air,1
dramatic,8
external,7
meagre,2
non-metro,1
former,15
countless,1
sound,7
shaft,1
south-westerly,1
will-power,1
divisive,1
admirable,1
premature,1
handicapped,1
ongoing,4
prescriptive,1
wry,2
twent,1
metric,2
blar,1
dubious,1
paint-peeled,1
middle,17
sudden,3
grievous,5
obnoxious,3
everyday,10
different,181
harsh,4
same,117
epistemological,1
nationalised,1
extended,1
carriageway,1
disadvantaged,2
running,2
delicate,3
squatter,1
knock-on,1
cytosolic,1
purposeful,1
vacant,3
constitutional,6
manufac,1
authoritative,1
severe,18
grumpy,3
outdoor,1
quantitated,1
being,6
supervenient,1
ninth,2
recycled,2
civilized,2
unclear,1
gated,6
behavioural,1
baptismal,1
weekly,3
rudderless,1
grammatical,1
rigid,2
barrelled,4
sinuous,1
airfield,3
anti-aircraft,1
rosy,3
extensive,7
headboard,1
scheduled,1
crusty,1
spectacular,2
fridge,1
gonna,1
dark,18
nappy,2
amp,1
postal,3
vague,2
rear,1
gorfield,1
acute,6
heightened,2
deta,1
collective,4
ihibit,1
physiotherapy,1
full-scale,1
anarchic,1
conveyancing,1
downward,1
passionate,3
reduced,1
satisfactory,1
goldilocks,1
verbal,3
pickled,1
supplementary,2
calculated,3
wigan,1
diving,1
racial,1
matching,2
oodle,1
booming,1
developmental,1
o',1
duddy,1
slick,2
legal,27
conservative,20
tailor-made,1
critical,4
narcissistic,1
intravenous,1
scientific,12
manufactured,5
notable,2
tumour,3
inter-site,1
broken,4
hectic,1
arithmetical,2
five-,1
roaming,1
exciting,7
multi-party,1
ol,3
central,24
oi,1
vocational,3
ergonomically,1
smear,3
dyslexic,2
accepted,1
practical,12
supervised,2
ow,1
ov,1
provisional,1
privatized,1
two-day,1
skilled,3
rolling,2
lively,3
homeless,4
heated,2
elementary,4
rosso,1
feudal,2
after-lunch,1
multi-national,1
hunky,2
brute,2
stark,1
strict,4
unspoken,1
racist,1
low,31
sealed,4
dislocated,1
hen,1
allergic,1
hard,58
complete,16
vested,2
fastidious,1
delayed,1
sophisticated,6
jus,1
antiquated,1
unreliable,1
pitched,2
labour-only,1
irreversible,1
handsome,2
romantic,1
wholesale,1
jamaican,1
dirty,18
shrubby,1
sleazy,1
detailed,4
interval,1
exhausted,1
certain,75
deep,27
general,81
ar,1
corresponding,2
syrian,1
incorrect,1
selfish,4
dye-,1
personnel,1
itemised,1
tight,10
valid,5
pan-european,1
puppy,2
igi,1
poor,91
polar,2
authoritarian,3
vocabulary,1
separate,13
pear,1
stocky,1
important,56
prudent,2
ridden,1
remote,4
non-english,2
mass,3
behavioral,1
alright,1
overseas,6
oral,5
original,11
oran,1
semantic,3
chinese,4
crucial,5
suburban,3
ceramic,2
burst-proof,1
surgical,2
sporty,1
messy,2
customary,1
religious,19
dreadful,2
careful,2
tt,5
tr,1
sociological,1
foster,1
th,5
crimson,1
stripy,1
confidential,4
very,272
soled,1
fat,22
coloured,25
diary,1
awful,41
witted,1
generalised,1
enjoyable,1
sentimental,1
dista,1
anas,1
crocodile,1
marvellous,8
skeletal,2
large,65
small,109
biological,11
programme,9
humongous,1
portable,9
methodical,1
grob,1
colossal,1
built-in,2
past,39
under-worldy,1
honourable,6
rata,1
further,27
casual,3
jesus,1
defence,1
sub,3
psychosomatic,1
brief,6
sus,2
fractional,1
judicious,1
slippery,1
public,62
multinational,1
outgoing,1
full,64
christian,8
healthmaster,1
loose,3
post-lunch,1
anti-union,1
favourable,1
selective,3
excess,2
bird-table,1
eventful,1
strong,41
personable,1
aubergines.,1
bible,1
naval,3
maroony,1
blondish,1
introductory,2
milky,1
narrow,4
british-brazilian,1
gipsy,2
ex-president,1
marginal,1
cosmetic,1
tendered,2
chunky,3
mutant,2
trained,1
armed,2
select,4
literary,5
conventional,4
distinct,4
non-,13
faint,1
shite,1
rustic,1
de-,1
gorgeous,6
under-,1
minor,13
inferential,1
flat,8
stylistic,3
sub-four,1
controlling,1
particular,66
nitpicking,1
nineteen,54
hous,1
categorizing,1
ineffectual,1
aran-type,1
male,10
spontaneous,3
self-conscious,1
def,1
beautiful,24
psychoanalytic,1
atrocious,1
searchlight,1
unbiased,3
minimum,11
ticker-tape,1
sharp,7
huge,37
respective,2
awkward,6
breaking,1
glowing,1
individualistic,2
sacred,1
okay,24
prognostic,3
unsound,1
hocus,1
coming,9
fi,3
horizontal,1
sloppy,1
compulsory,5
bleak,2
short,53
preferential,1
crowded,1
shady,3
crippling,1
runway-busting,1
footed,1
skilful,2
fundamental,14
geographic,4
playing,1
winged,1
developed,2
disabled,8
naughty,2
through,3
committed,1
staunch,1
kinetic,1
tutti-frutti,1
arrogant,3
hundredth,1
susceptible,1
wishful,1
lateral,1
late,30
harmless,2
poxy,2
microscopic,3
dolly,2
travelling,1
post-war,2
good,367
motivated,1
yo,4
strappy,1
cen,2
ye,2
encouraging,4
gormless,1
berno,1
permissible,1
attenuating,1
towering,1
pan-,1
pregnant,1
spinning,1
token,2
radial,1
shocking,3
heavy,35
mental,6
thirteenth,1
numeric,1
coochy,1
punitive,1
antarctic,1
silky,1
unsalaried,1
submissionary,1
trusty,1
clandestine,1
childish,1
jolly,30
acting,2
ministerial,2
bye,7
pathetic,4
store-based,1
pleasant,5
extraordinary,6
base,2
dire,1
put,4
capodimonte,1
humanist,1
revolutionary,3
driven,1
unique,8
antigenic,1
unconfident,1
terrible,19
fifty-four,1
american,16
ding,5
major,91
rooted,1
protectionist,1
radical,4
limerick,1
olympic,1
fancy,3
enlarged,1
unexpected,2
angiogenic,1
blank,6
halfway,1
north-east,1
de-humanising,1
leading,1
heady,2
excitable,1
wonderful,16
molecular,6
subsidise,1
selling,1
immediate,4
filmic,1
lug,2
secretarial,2
peaked,1
ste,1
performan,1
sta,1
iranian,1
double,32
impersonal,1
pocus.,1
spirited,2
supposed,2
unburnt,1
sty,1
procedural,3
withered,1
pre-existing,1
meeny,1
fridge-,1
shrewd,1
pedestrian,1
substantial,13
blond,6
self-sacrificing,1
vulnerable,1
disenchanted,1
fermenting,1
lim,2
flaming,2
heterosexual,2
moist,1
labour,24
useless,8
frail,4
aggravating,1
on-going,2
contractual,3
experienced,1
electric,11
headmaster,1
ahzelgrove,1
compl,1
unused,1
significant,19
boycotting,1
measured,1
approved,3
anti-immigration,1
prostatic,1
chested,1
unequal,1
mobile,11
ki,1
humanitarian,2
traditional,21
part-time,1
cramped,1
artistic,4
clean,22
ineradicable,1
struc,1
dermatological,1
non-sexists,1
hyper,1
gold,2
hipped,1
scattered,3
spastic,1
fine,9
hi-,1
dominiques,1
giant,4
locational,4
northern,69
justice,1
nervous,4
grotesque,1
19th,1
convoluted,1
pretty,14
managerial,1
quadrupedal,1
ten-minute,1
accurate,4
executive,3
dominant,6
cantankerous,1
dependent,2
luke,1
flowing,1
sunny,12
speckled,1
famous,8
capsule,1
valuable,6
politicised,1
shared,1
docile,1
treed,1
adoptive,1
frightening,4
contextual,1
left-wing,1
oxy,4
transitional,5
disregarding,1
violent,5
reputable,1
common,25
ninety-two,1
cre,1
twiggly,2
adult-looking,1
baroque,2
ninety-one,2
arr,1
pneumatic,1
scruffy,1
cynical,6
printout,1
air-,1
crackly,1
individual,23
dumb,2
polish,2
close,4
forthcoming,4
outrageous,1
learnt,1
expert,1
distinctive,3
electoral,10
wor,1
creme,1
various,121
anti-semitic,1
vascular,2
civi,1
consecutive,1
uncaring,1
numerous,9
eleven-year,1
piss,1
available,6
solo,1
deserving,2
coalfired,2
complementary,2
sole,1
thingummybob,1
unchallengeable,1
competent,4
indus,1
interfaced,1
full-time,3
last,357
thou,1
annual,58
oxfordshire-based,1
foreign,22
sensitive,2
roman,1
operat,1
waistcoated,1
long-term,8
whole,43
shortsighted,1
drunk,1
simple,38
sweet,6
pop-in,1
newborn,2
header,1
adjoining,3
incandescent,1
scottish,5
suppressing,1
expensive,17
monthly,9
scented,2
damp,1
outstanding,8
political,94
due,3
cheeked,1
secret,3
damn,9
coarse,1
make-up,1
goal-less,1
empty,9
firm,2
institutionalized,1
sleeved,2
gay,6
orchestral,1
gar,1
modelling,1
mine,1
gal,1
awake,2
systematic,1
intriguing,2
uncertain,2
raw,10
solid,14
straight,23
ropy,1
empirical,2
corrode,1
healthy,6
consular,1
probationary,1
handbrake,1
real,114
sizeable,1
costly,1
vol,1
foul-mouthed,1
hoax,1
dum-do-be-,1
full-length,1
ready,1
funny,31
communal,1
would-be,1
elevated,1
trian,1
billeting,1
grand,28
lenient,1
pseudo-membrane,1
chickenpox,1
slanging,1
danish,2
used,3
temporary,10
comprehensive,9
communi,1
moving,1
aggregate,1
robust,1
timid,1
weird,5
focal,4
recent,12
early,40
conversational,1
elec,1
particul,1
spaceman,1
spent,1
half-baked,2
concrete,1
swiss,1
mid-range,1
explan,1
bi-,1
egoistic,1
altruistic,1
competitive,12
communicative,1
cocky,2
atomic,1
rotarian,1
lucky,3
useful,14
alternative,6
coun,2
profitable,2
superficial,2
phospholipid,1
cur,1
ex-irish,2
fitting,2
co-ordinated,1
regimented,4
snappy,2
impoverished,1
administrative,3
brainstorm,1
big,486
couple,1
depreciable,1
logical,11
crisp,2
bit,4
middle-of-the-road,1
vapour,1
cognitive,1
shaped,3
unrecognized,1
manifest,2
procta,1
provoking,1
pro-social,1
popular,9
unendurable,1
foolish,1
essential,5
mathematical,6
ninety-four,3
wind-up,1
fucking,17
empl,1
magnificent,1
back,24
urgent,4
economic,61
mighty,2
trendy,3
candle,1
pale,4
departmental,5
savage,1
clockwise,1
dull,2
mede,1
mummy,3
distributable,1
veterinary,1
soppy,1
modest,1
peo,1
straightforward,4
prob,1
classificated,1
mozambiquan,1
patient,1
judgemen,1
bl,1
perpendicular,1
under-funding,1
snory,1
nitty,1
scaredy,1
intense,2
non-standard,1
cautious,1
proven,1
ceremonial,1
aye,1
forgave,1
doodle,1
crass,2
therapeutic,2
shiny,5
child-care,1
deafness,1
abusive,1
whizz-kid,1
appropriate,6
smelly,5
conscientious,2
paradigmatic,1
proportional,1
germ,1
subse,1
aquatade,1
soci,1
semi-detached,2
syllabus,1
infected,1
ni-night,1
summertime,1
literal,1
forward,6
kamikaze,1
conceivable,1
rhetorical,2
jewish,7
registered,4
two-part,1
russian,3
junior,3
step-wise,1
intuitive,1
characteristic,1
stumbling,3
up,6
um,1
politic,1
un,1
mature,3
autonomous,1
fried,1
similar,16
clear,23
constant,7
nationalist,1
char,1
scarlet,1
single,62
diverse,1
non-pathogenic,1
organizational,1
user-,1
phantom,1
nan,1
occasional,3
electrical,9
irreplaceable,1
nice,376
get-out,1
infra-red,1
energetic,1
accidental,2
gross,12
favourite,1
helpful,3
stockmarket,1
no-fault,1
drab,1
self-certified,1
bodily,8
entertaining,1
required,2
reconditioning,1
hurar,1
appalling,3
neighbouring,2
incomplete,1
fresh,13
talented,1
partial,1
gr,1
fixed-rate,2
knotted,1
vaunted,1
existing,9
alien,2
company-wide,1
compact,7
drive-in,1
longstanding,1
turkish,2
anointed,1
concerned,2
young,98
intensive,3
compost,1
stable,4
fatal,1
friendly,8
non-communist,1
armament,1
treadle,1
engineered,1
unbeaten,2
cellular,1
continued,2
entire,8
moderate,2
magic,2
stiff,7
gullible,1
endro-t,1
related,1
video,5
uncomfortable,2
kuomintang,1
odd,30
sleeve,2
hourly,3
dowdy,1
inder,1
hereditary,1
rotten,5
indian,3
capital,4
pristine,1
poky,3
downright,1
flavoured,1
commercial,23
outlying,2
nimble,1
spaky,1
focused,1
lev,1
second-rate,1
extreme,5
great,311
technical,25
involved,1
up-to-date,1
evolvematic,1
footballing,1
deputy,3
private,34
reserved,1
chilly,1
iced,1
illegal,3
moorish,1
nicish,1
flabby,1
next,188
few,453
cheeky,10
clever,5
snobbish,1
charming,4
reissued,1
sore,2
transient,1
actual,50
whisky,1
paralleled,1
thir,1
instinctual,1
slash-and-burn,1
obvious,7
thin,12
primitive,1
es,1
loca,1
proprietary,3
bent,1
slim,2
promotional,1
high,56
serial,2
floury,1
native,1
educational,25
varied,1
defective,1
boxing,1
unquestionable,1
spurious,1
bilingual,1
intelligent,4
circular,4
profile,1
pink,9
maternal,1
mixed,2
redundancy,1
preferred,6
ethnic,5
footpath,1
seconding,1
tomato,2
light,19
out-dated,1
redundant,1
shropshire,1
chief,19
furious,1
bairn,1
evolutionary,7
mute,1
institutional,1
in-house,4
statutory,26
whilst,1
east-west,1
agricultural,25
cocked,1
perfect,9
superior,2
outer,40
fair-trading,1
lo,4
permanent,6
primal,1
orange,1
derelict,3
criminal,3
crash,1
pure,15
orthodox,2
frontal,1
idiomatic,2
broadsheet,1
front,12
embryonic,1
handy,3
presidential,1
inside-out,1
trad,1
pre-war,2
fiddly,1
tran,2
delightful,2
anti-german,1
upward,5
tracksuit,1
moped,1
programmed,2
index-linked,1
inverted,1
climatic,3
static,2
thirteen,7
sectional,2
sexual,18
special,62
out,2
tabloid,2
showergel,1
unlawful,3
enforceable,1
your,6
impartial,1
deray,1
mediated,1
wondrous,1
stud,1
adaptive,2
integrated,2
red,51
statist,1
inval,1
eco,2
eighty,6
humiliating,1
greedy,1
sustainable,2
regulatory,4
obscure,2
undemonstrative,1
pancreatic,1
organic,4
midi,5
candle-lit,1
maths,1
statomatic,1
illicit,1
re-,1
retail,3
south,12
prospective,3
platonic,1
powerful,6
strategic,30
galvanized,1
lol,3
apprenticeship,1
three-way,1
quality,7
reliable,3
legislative,4
long,227
fascinating,1
durable,1
unequivocal,1
intermediate,2
realistical,1
final,22
painful,2
finan,1
vigorous,1
unscrupulous,1
shallow,1
dreary,3
environmental,57
congenital,2
hotpoint,1
glamorous,1
slack,1
magnatic,1
boring,6
conscious,2
infectious,1
stupidly,2
halcyon,1
boyish,1
snazzy,1
bare,6
winsy,1
distinguished,2
ingenious,2
rhythmic,2
false,3
farged,1
unchanged,1
four-man,1
tidy,8
comfortable,5
recyclable,1
gentle,11
variable,1
cavern,1
miserable,3
faux,1
curved,1
beefy,1
blockbuster,1
bookable,1
heroic,1
catholic,2
unadulterated,1
able,4
mid,7
ecumenical,2
cotswold,1
philatelic,1
non-domestic,1
whe,1
bemused,1
petrol,2
whi,3
dadas,1
preliminary,2
fisted,1
intrinsic,1
so-called,20
inexorable,1
horrid,1
alaskan,1
astonishing,3
anecdotic,1
mechanical,3
skinny,1
weeny,2
spindly,1
exclusive,1
indoor,2
woolly,1
one-off,2
rough,5
trivial,6
aftershave,1
hopeful,1
hydroelectric,2
loutish,1
envi,1
blackcurrant,1
communist,5
local,198
astronomical,2
inferior,1
banditry,1
exceptional,2
wooty,1
overall,16
twinkle,3
maritime,1
joint,8
legitimate,8
upwardly,1
quantifier,1
dodgy,3
routine,1
endless,3
partic,1
forbiddingly,1
qu,1
married,6
gran,1
uniformed,1
fixed,2
hi-tech,1
pronoun,1
manky,1
national,73
turbulent,2
canine,5
geometrically,1
desperate,3
