adj,freq,lexical class,subjectivity score
ugly,18,value,0.729166666666667
near,4,,
neat,12,value,0.582727272727273
aeroplane,1,,
reconnaissance,1,,
smoky,3,,
wurgh,2,,
unlikely,5,,
pessimistic,1,,
over-,1,,
well-balanced,2,,
metropolitan,5,,
sequined,1,,
im,1,,
desexualized,1,,
comparative,1,,
ie,1,,
bounteous,1,,
grown,4,,
memorial,1,,
grandiose,1,,
shimmering,2,,
bilious,1,,
unsavoury,1,,
parish,12,,
woollen,3,,
complex,8,,
sheltered,1,,
unfortunate,6,,
several,157,,
sodden,1,,
european,51,,
independent,26,,
emphasise,1,,
boiled,14,,
hosiery,2,,
saintly,1,,
welsh,2,,
numerical,3,,
evil,3,,
norwegian,1,,
declarative,2,,
garlic,1,,
kin,1,,
symmetrical,1,,
brainstorm,1,,
prescribed,3,,
hearth,1,,
whatsername,1,,
humble,4,,
cultural,6,,
ragged,6,,
unsuitable,2,,
hearty,1,,
greatest,3,,
simulated,2,,
quantitative,3,,
the,1,,
paradigm,1,,
corporate,7,,
musical,1,other,0.361875
left,10,location,0.310666666666667
seasonal,2,,
slutty,1,,
stringent,3,,
graded,3,,
just,5,value,0.60125
romanesque,1,,
photo,2,,
anti-social,2,,
sleepy,1,human,0.546
terrorist,1,,
mid,7,,
hi-fi,5,,
preservable,1,,
government-initiated,1,,
human,33,human,0.25
yep,4,,
scattering,1,,
previous,29,,
thyroid,2,,
remedial,2,,
furry,1,,
old-fashioned,4,,
defrosted,1,,
explanatory,4,,
patching,1,,
ele,2,,
bushy,2,,
innocent,3,human,0.598461538461538
technological,3,,
east,3,location,0.202222222222222
tracheal,1,,
scatty,1,,
egal,1,,
municipal,1,,
online,1,,
possible,38,,
tarzan,1,,
discreet,1,,
supervisory,1,,
sanitary,1,,
strap,1,,
burnt,1,,
advanced,4,,
sliced,3,,
articulated,2,,
cooler,1,,
gifted,2,,
manual,6,,
unnecessary,3,,
unsuspecting,1,,
informative,2,,
reinterpreting,1,,
archaeological,1,,
dimorphic,1,,
antique,1,,
portuguese,1,,
beneficial,1,,
right,74,value,0.637777777777778
old,1509,,0.646666666666667
bory,1,,
whe,1,,
easy,23,,
deaf,4,,
dead,17,human,0.14
multiple,6,other,0.358
manifest,2,,
tutorial,2,,
confusing,1,,
strategic,30,,
specific,32,,
nonagenarian,1,,
dense,2,physical,0.6
do-it-yourself,1,,
bottom,4,location,0.269090909090909
purple,41,color,0.2405
electromagnetic,1,,
normal,49,,
creative,7,,
prejudicial,2,,
shrivelled,1,,
provoking,1,,
theological,2,,
core,1,,
curvaceous,2,,
bold,4,,
posh,8,value,0.654666666666667
dental,1,,
trampoline,2,,
ply,1,,
constructive,2,,
inter-,3,,
binomial,1,,
saleable,1,,
defensive,1,,
posy,1,,
terraced,1,,
super,20,value,0.770833333333333
re-lau,1,,
hard,195,physical,0.428181818181818
impenetrable,1,,
coral,1,,
o,9,,
gentler,1,,
misleading,1,,
coiled,1,,
dotty,2,,
logistical,1,,
azure,2,,
gingerbread,1,,
soc,3,,
pre-tax,1,,
civic,2,,
civil,29,,
bound,4,,
obscene,1,,
down,7,,
respectable,7,,
pink,10,color,0.1075
coastal,1,,
formidable,1,,
balanced,2,,
refined,1,,
descriptive,2,,
git,1,,
weathered,3,,
initial,16,,
frill,1,,
sovereign,1,,
one-time,1,,
tame,3,,
stuck,1,,
wax,1,,
call,5,,
happy,29,human,0.43
questionable,2,,
medium,4,,
re-launch,1,,
secondhand,1,,
sundry,1,,
26th,1,,
perfumed,1,,
elderly,12,,
solar,3,,
sustained,1,,
sub-,4,,
true,19,other,0.362727272727273
luxuriant,1,,
anec,1,,
circumstantial,1,,
flavour,1,,
surprising,3,,
reproductive,7,,
urgent,5,,
compositional,2,,
inside,2,,
maximum,3,,
under-,1,,
touchy,1,,
pest,2,,
sapphire,1,,
jobby,1,,
emotional,3,,
daddy,1,,
retir,1,,
three-ninetieth,2,,
trim,1,dimension,0.506
juvenile,1,,
later,3,,
liberal,8,,
winged,1,,
scandalous,1,,
crustless,1,,
abstract,3,,
muscular,2,,
sticky,8,,
gibbering,1,,
acclaimed,1,,
candle,1,,
floating,1,,
annoying,2,,
mole,1,,
shit,1,,
physical,17,physical,
marinated,1,,
ni,2,,
rough,13,physical,0.715
marxist,1,,
faithful,1,,
dotted,1,,
celuform,1,,
roly,1,,
unorganised,1,,
ne,2,,
successful,11,,
interested,8,,
deep-seated,1,,
ambitious,2,,
digital,1,,
unwilling,1,,
short-term,3,,
tic,1,,
incestuous,1,,
blackcurrant,1,,
sling,1,,
pronounced,1,,
fairground,1,,
welcome,7,,
polite,1,,
sensuous,1,,
cumulative,1,,
consid,1,,
stratigraphic,1,,
longer,2,,
interval,1,,
daily,12,,
dilapidated,3,,
loyal,2,,
amniotic,1,,
serious,27,,
backward,1,,
adult,1,,
peacock,1,,
unavoidable,1,,
customary,3,,
remarkable,8,,
indecently,1,,
global,1,,
crocodile,1,,
mild,5,,
rop,1,,
rationalised,1,,
abundant,1,,
adoptive,1,,
uneven,1,,
pronoun,1,,
draughty,2,,
disgusting,5,,
iraqi,9,,
unpleasant,6,,
near-darwinist,1,,
knackered,2,,
innit,1,,
brown,296,color,0.29875
protective,9,,
ro-,1,,
tubby,1,dimension,0.6325
unfamiliar,1,,
geometrical,1,,
bedroomed,1,,
gloomy,1,human,0.690714285714286
nightly,1,,
anonymous,1,,
fifty,25,,
exact,6,other,0.281
feeble,3,,
minute,2,,
cool,3,physical,0.678125
dim,1,,
impressive,8,,
level,1,,
multi-location,1,,
cloudy,1,,
discrete,1,,
inauspicious,1,,
brownish,1,,
turgid,1,,
quick,31,speed,0.561111111111111
perceptual,1,,
round,2,shape,0.23875
dir,1,,
upper,12,,
spiritual,2,,
unexpected,4,,
stupidly,2,,
non-distributable,1,,
attic,1,,
repetitive,2,,
okay,24,value,0.88
measurable,2,,
pre-structural,1,,
heavyweight,1,,
dried,2,,
patient,1,,
bacterial,1,,
cuddly,1,,
port,1,,
cosy,8,,
irritated,1,,
mu,1,,
stressful,1,,
stately,2,,
seventy-four,1,,
coppery,1,,
current,46,,
wayward,1,,
suspect,3,,
one-page,1,,
international,29,,
commensurate,1,,
freaky,1,,
scripted,1,,
paradoxical,1,,
hairy,3,,
supporting,1,,
basketful,1,,
bloke,2,,
honour,1,,
funeral,1,,
french,21,nationality,0.278888888888889
tumbledown,1,,
linseed,6,,
decipher,1,,
fuddy,1,,
unfinished,1,,
incoming,1,,
discount,1,,
dusty,6,,
simultaneous,1,,
weird,7,value,0.815
all-out,1,,
philosit,1,,
teenage,3,,0.218571428571429
adjustable,1,,
useful,15,,
pla,1,,
kebab,2,,
extra,65,,
greenbelt,12,,
ethiopian,2,,
logical,12,,
bloody,257,,
uphill,1,,
paralyzed,1,,
marker,1,,
instal,1,,
loutish,1,,
sympathetic,2,,
vivid,8,,
working,5,,
woof,4,,
senile,3,,
positive,20,,
angry,1,human,0.595
fickle,1,,
anatomical,1,,
creamy,5,,
live,13,human,0.174615384615385
sighted,1,,
australian,3,,
eighty,7,,
theoretical,1,,
pres,1,,
wicked,9,human,0.674444444444444
blotchy,1,,
smudged,1,,
improper,1,,
bombastic,1,,
adve,1,,
acceptable,4,,
apparent,2,,
eco,2,,
ooh,4,,
chocolate,1,,
marbled,1,,
dismal,1,,
co-educational,1,,
olive,2,,
mascot,1,,
pre-,1,,
walled,1,,
instructional,1,,
graphic,4,,
fourths,1,,
footway,1,,
incited,1,,
pretend,1,other,0.435
genetic,1,,
cau,1,,
flaking,1,,
sour,4,,
unruly,1,,
cal,1,,
following,6,,
toffee,1,,
pickle,1,,
stimulating,1,,
social,69,,
nearest,1,,
crazy,7,human,0.771666666666667
three-bedroomed,1,,
mauled,1,,
pleated,2,,
confused,2,,
drawer,1,,
tinted,1,,
battered,8,,
prize-winning,1,,
parliamentary,19,,
productive,3,,
war-time,1,,
bankrupt,1,,
brick-bint,2,,
secured,1,,
innumerable,2,,
pre-war,2,,
positional,2,,
varnished,1,,
pure,22,,
wooty,1,,
optimal,1,,
gaping,1,,
irascible,1,,
pint,1,,
criminal,4,,
waistcoated,1,,
peerless,1,,
fascist,3,,
rinky,1,,
typewriting,1,,
southern,7,,
stroppy,1,,
lucky,5,,
motorway,1,,
blurgh,2,,
mad,9,human,0.554285714285714
floral,1,,
such,178,,
suck,1,,
destructive,2,,
eighth,2,,
antiquarian,1,,
older-fashioned,1,,
natural,27,other,0.499
mangy,1,,
liquid,2,,
nationalistic,2,,
long-range,1,,
sp,1,,
explicit,1,,
explanary,1,,
nosed,1,,
african,2,,
tall,18,dimension,0.675882352941176
typical,20,,
drunken,3,,
cute,8,value,0.787272727272727
franco-,1,,
pointed,3,,
unacceptable,1,,
canary,1,,
playful,1,,
genteel,1,,
statistical,1,,
cold,26,physical,0.69
quantifier,1,,
freckled,1,,
solitary,2,,
supplemented,1,,
texan,1,,
rooftop,1,,
curly,10,,
interesting,31,,
torn,1,,
amazing,3,,
councillor,1,,
low-cost,1,,
main,68,,
non,11,,
lonely,11,,
civilian,4,,
lumbering,1,,
indigenous,2,,
touching,1,,
corroded,1,,
intellectual,5,,
wealthy,4,,
qu,1,,
now,2,,
widespread,6,,
operatic,1,,
non-registered,1,,
streaky,1,,
realistic,2,,
doddery,1,,
liberating,2,,
square,59,shape,0.384285714285714
eh,1,,
pillaged,1,,
divisional,5,,
abnormal,2,,
ex,11,,
two-part,1,,
lanky,1,,
ev,1,,
neighbourhood,3,,
living,1,,
prognostic,3,,
under-worldy,1,,
looking,2,,
nominal,1,,
rational,5,,
correct,7,value,0.376666666666667
punky,1,,
postoperative,1,,
seventh,6,,
diagnostic,3,,
carbolic,1,,
unfriendly,2,,
wal,1,,
lucrative,3,,
follow-on,1,,
unnamed,1,,
inevitable,2,,
waxy,1,,
dunno,1,,
contented,2,,
british,47,,
honest,6,,
demographic,1,,
unpaid,1,,
funky,2,,
tangled,1,,
invalidity,2,,
domed,1,,
frequent,5,,
first,252,temporal,0.141818181818182
blind,11,,
impossibly,2,,
striking,2,,
symbolic,4,,
approximate,1,,
clumsy,3,,
simplified,1,,
to-air,1,,
periodical,1,,
spanish,6,,
anti-,3,,
methodological,1,,
potted,1,,
underactive,1,,
open,46,dimension,0.422857142857143
cheesy,1,,
given,1,,
silent,1,,
action-packed,1,,
virgin,1,,
murky,2,,
structured,1,,
carbonate,1,,
plastic,37,material,0.268
pan-,1,,
tragic,3,,
terrifying,1,,
fiery,1,,
typing,1,,
typographical,1,,
cost-effective,1,,
white,97,color,0.281428571428571
council-run,1,,
inefficient,2,,
floppy,8,,
continuous,8,,
qual,1,,
ambulatory,1,,
ridiculous,2,,
quirky,1,,
wongy,2,,
retireable,1,,
photographic,1,,
auto-immune,1,,
set-up,1,,
wide,44,dimension,0.443
doddering,1,,
dinky,2,,
effective,15,,
re-fit,2,,
rival,2,,
diplomatic,2,,
non-stop,1,,
victorian,13,,
future,23,,
dextrose,1,,
glossy,13,,
schooled,1,,
geht,1,,
gigantic,4,dimension,0.592307692307692
sublime,2,,
pre,3,,
stubby,3,,
sumptuous,1,,
carotenoid,1,,
pro,4,,
sad,8,human,0.567777777777778
prestigious,4,,
slam,1,,
dredging,1,,
amateur,6,,
occupied,1,,
sav,1,,
straggly,1,,
intra-industry,1,,
squat,1,,
cheerful,6,,
fashionable,4,,
efficient,3,,
terrific,6,,
endangered,1,,
ideal,5,,
potential,19,,
siesta,1,,
objective,5,,
blunt,1,,
registered,4,,
sellable,1,,
spangled,1,,
opposite,2,,
urgh,4,,
paid,5,,
rehearsal,1,,
beta,1,,
consignment,1,,
printed,1,,
successive,8,,
coveted,1,,
creditable,1,,
greyish,1,,
heinous,1,,
glug,4,,
enamel,1,,
largish,2,,
considered,2,,
average,17,,
proud,1,,
steady,6,other,0.537142857142857
hungry,2,human,0.473333333333333
playing,1,,
shut-down,1,,
professional,26,,
senior,26,,
foetal,1,,
precise,5,,
surplus,2,,
german,8,,
cheap,16,,
contemporary,7,,
corned,1,,
snidey,1,,
russian,3,,
bright,106,color,0.464
summertime,1,,
chiselled,1,,
aggressive,5,,
fifth,2,,
trot,4,,
slow,7,speed,0.504285714285714
stormy,1,,
punchy,1,,
stained,6,,
enough,86,,
dull,9,,
staid,1,,
re-create,1,,
only,140,,
going,3,,
black,62,color,0.269
congressional,2,,
plump,1,,
non-invasive,1,,
assistant,7,,
lug,2,,
designated,1,,
downhome,1,,
lighter,2,,
gen,1,,
secondary,16,,
prime,17,,
worried,2,,
naked,3,other,0.418571428571429
stupid,16,human,0.6575
ruddy,6,,
raunchy,1,,
finishing,5,,
hinged,1,,
unmarried,1,,
presentic,1,,
eighteenth,4,,
relative,7,,
asleep,1,,
recalcitrant,1,,
faceless,1,,
ee,2,,
encouraged,2,,
israeli,1,,
brave,25,human,0.702222222222222
voluntary,31,,
federal,3,,
subsequent,7,,
diddle,14,,
definite,3,,
malted,1,,
teeny,3,dimension,0.531818181818182
outside,4,,
simplest,1,,
thinkable,1,,
silty,1,,
diamondy,1,,
affordable,10,,
vertical,2,,
parental,5,,
ju,3,,
spartan,1,,
micro-electronic,1,,
real-life,1,,
spare,12,other,0.16375
free-standing,1,,
cervical,2,,
bedraggled,1,,
concentrated,1,,
fried,1,,
rugby,2,,
farcical,1,,
gimmicky,1,,
many,673,,
directional,2,,
quiet,16,physical,0.36875
starchy,1,,
unforeseen,1,,
dated,1,,
traded,1,,
nearby,5,,
yearly,1,,
loveliest,1,,
soci,1,,
endless,4,,
pop,1,,
twin,6,,
stretched,2,,
poi,1,,
unassuming,1,,
proved,1,,
bizarre,4,,
poll,4,,
two-year,1,,
disciplinary,4,,
forecasted,1,,
amino,5,,
caring,2,,
sensible,7,,
unusual,5,,
grand,54,value,0.747142857142857
capable,2,,
west,8,,
classic,4,,
tropical,7,,
drop-in,1,,
practised,1,,
regimental,2,,
peaceful,3,,
compelling,2,,
infective,1,,
devilish,1,,
6m,1,,
dramatic,9,,
external,9,,
careful,2,,
non-metro,1,,
former,17,,
countless,5,,
sound,7,,
shaft,1,,
south-westerly,1,,
will-power,1,,
scarlet,1,,
smouldering,1,,
premature,1,,
handicapped,1,,
ongoing,4,,
promising,3,,
prescriptive,1,,
mechanical,3,,
post-war,2,,
twent,1,,
reckonable,1,,
sincere,1,,
blar,1,,
dubious,1,,
paint-peeled,1,,
middle,20,,
sudden,6,,
grievous,5,,
obnoxious,3,,
everyday,12,,
different,210,other,0.771428571428571
whiskered,1,,
harsh,6,,
considerable,15,,
creaky,1,,
same,188,other,0.30875
epistemological,1,,
thee,1,,
nationalised,1,,
extended,1,,
carriageway,1,,
disadvantaged,2,,
running,2,,
delicate,14,physical,0.5
italian,8,,
squatter,1,,
knock-on,1,,
flaked,1,,
perennial,1,,
cytosolic,1,,
purposeful,1,,
vacant,3,,
constitutional,6,,
manufac,1,,
authoritative,1,,
severe,18,,
grumpy,4,human,0.709090909090909
overcrowding,1,,
outdoor,1,,
quantitated,1,,
being,6,,
supervenient,1,,
ninth,2,,
reputably,1,,
lavish,1,,
pissing,1,,
unclear,1,,
gated,6,,
behavioural,1,,
baptismal,1,,
weekly,4,,
rudderless,1,,
athletic,1,,
grammatical,1,,
barrelled,4,,
insufficient,1,,
sinuous,1,,
airfield,3,,
anti-aircraft,1,,
rosy,4,,
ghostly,1,,
constant,10,,
extensive,10,,
headboard,1,,
scheduled,1,,
crusty,3,,
spectacular,5,,
fridge,1,,
gonna,1,,
dark,103,color,0.315
gnarled,8,,
darn,2,,
ramshackle,2,,
cavern,1,,
amp,1,,
postal,3,,
disappointed,2,,
vague,3,,
rear,1,,
gorfield,1,,
acute,6,,
heightened,2,,
deta,1,,
collective,5,,
aerobic,3,,
ihibit,1,,
physiotherapy,1,,
full-scale,1,,
anarchic,1,,
conveyancing,1,,
downward,1,,
passionate,3,,
reduced,1,,
satisfactory,2,,
goldilocks,1,,
verbal,3,other,0.39
crabbed,1,,
pioneering,5,,
pickled,1,,
supplementary,2,,
calculated,3,,
wigan,1,,
bobbed,1,,
diving,1,,
racial,1,,
redeeming,1,,
oodle,1,,
booming,1,,
viral,1,,
perverse,1,,
o',1,,
duddy,1,,
defenceless,1,,
slick,2,physical,0.629090909090909
legal,29,,
postnatal,1,,
nutty,1,,
tailor-made,1,,
critical,6,,
non-standard,1,,
sweatless,1,,
narcissistic,1,,
intravenous,1,,
diced,1,,
scientific,13,,
intimate,2,,
prominent,8,,
sixth,8,,
equivalent,1,,
radial,1,,
notable,2,,
tumour,3,,
inter-site,1,,
broken,5,,
hectic,1,,
arithmetical,2,,
five-,1,,
roaming,1,,
exciting,36,value,0.695454545454545
slatted,4,,
multi-party,1,,
ol,3,,
dozy,1,,
oi,1,,
ergonomically,1,,
smear,3,,
dyslexic,2,,
favorite,3,,
practical,15,,
alkali,1,,
supervised,2,,
ow,1,,
ov,1,,
snobbish,1,,
provisional,1,,
bitty,10,,
meagre,2,,
no-fault,1,,
rediscovering,1,,
two-day,1,,
skilled,3,,
dishevelled,2,,
rolling,5,,
lively,6,,
homeless,4,,
heated,2,,
elementary,4,,
rosso,1,,
feudal,2,,
after-lunch,1,,
admirable,2,,
ex-irish,2,,
multi-national,1,,
hunky,2,,
brute,2,,
cultured,1,,
bucketing,1,,
strict,7,,
racist,1,,
grated,2,,
sealed,4,,
brazilian,1,,
dislocated,1,,
hen,1,,
allergic,1,,
spicy,1,,
complete,26,,
vested,2,,
proportionately,1,,
fastidious,1,,
delayed,1,,
prawn,1,,
jus,1,,
antiquated,2,,
unreliable,1,,
pitched,2,,
labour-only,1,,
irreversible,1,,
corduroy,1,,
belated,1,,
handsome,9,,
abused,1,,
romantic,1,,
wholesale,1,,
jamaican,1,,
dirty,43,physical,0.504
shrubby,1,,
sleazy,1,,
darker,2,,
detailed,6,,
celestial,2,,
exhausted,2,,
certain,89,,
deep,63,,
general,87,,
ch,1,,
ar,1,,
garrulous,1,,
controlled,4,,
appalling,3,,
syrian,1,,
raspy,1,,
incorrect,1,,
selfish,7,,
dye-,1,,
astonishing,5,,
personnel,1,,
incontinent,1,,
vocational,3,,
buttonback,1,,
tight,14,,
valid,5,,
pan-european,1,,
puppy,3,,
igi,1,,
privatized,1,,
polar,2,location,0.368571428571429
authoritarian,3,,
vocabulary,1,,
separate,16,,
pear,1,,
stocky,1,,
important,70,,
recognise,2,,
fresh,90,,0.448181818181818
prudent,2,,
sulphuric,1,,
remote,4,,
non-english,2,,
untidy,1,,
gross,15,,
mass,3,,
behavioral,1,,
alright,1,value,0.623571428571429
overseas,6,,
oral,7,,
original,21,,
oran,1,,
crumpled,1,,
semantic,3,,
chinese,6,nationality,0.12
diesel,1,,
suburban,3,,
ceramic,2,,
burst-proof,1,,
turbocharged,1,,
thoughtful,1,,
messy,2,other,0.63
managed,1,,
illicit,1,,
